integral 1 = 0.666953909054655 (expected: 2/3). Within accuracy? Yes!
integral 2 = 1.99996150007805 (expected: 2). Within accuracy? Yes!
integral 3 = 3.14183457802727 (expected: pi). Within accuracy? Yes!
integral 4 = -3.99991705899915 (expected: -4). Within accuracy? Yes!

--- Comparing calculated and tabulated values ---

x  erf(x)[tabulated]  erf(x)[calculated]  difference
0 0 0 0
0.02 0.022564575 0.022564574684605 3.15395033007038E-10
0.04 0.045111106 0.0451111059138231 8.61768850723976E-11
0.06 0.067621594 0.0676215926416353 1.35836471237827E-09
0.08 0.090078126 0.0900781184875888 7.51241117924462E-09
0.1 0.112462916 0.112462893687391 2.23126093157333E-08
0.2 0.222702589 0.222701903548297 6.85451702675532E-07
0.3 0.328626759 0.328621906874903 4.85212509665489E-06
0.4 0.428392355 0.4283738939975 1.84610024997478E-05
0.5 0.520499878 0.520450833623745 4.90443762546366E-05
0.6 0.603856091 0.603850136707248 5.95429275240811E-06
0.7 0.677801194 0.677791154283859 1.0039716140775E-05
0.8 0.742100965 0.74208663985377 1.43251462297878E-05
0.9 0.796908212 0.79689092483162 1.7287168379565E-05
1 0.842700793 0.842729958487199 2.9165487198668E-05
1.1 0.88020507 0.881077828610321 0.000872758610320878
1.2 0.910313978 0.910917133763266 0.000603155763265972
1.3 0.934007945 0.934793349053338 0.000785404053338268
1.4 0.95228512 0.952809572542964 0.000524452542963849
1.5 0.966105146 0.966440566449617 0.000335420449616652
1.6 0.976348383 0.976552972126066 0.000204589126065691
1.7 0.983790459 0.983908575962058 0.000118116962057768
1.8 0.989090502 0.989154184273649 6.36822736487241E-05
1.9 0.992790429 0.99208270005609 0.000707728943909913
2 0.995322265 0.994900318508938 0.000421946491062086
2.1 0.997020533 0.99677866822126 0.000241864778740219
2.2 0.998137154 0.998004529900172 0.000132624099828504
2.3 0.998856823 0.9987878297982 6.89932017996497E-05
2.4 0.999311486 0.99927792527529 3.35607247095027E-05
2.5 0.999593048 0.999578213503831 1.4834496169347E-05
3 0.99997791 0.999978632326396 7.22326396251916E-07
3.5 0.999999257 0.999999338329936 8.13299360080677E-08
Biggest error: 0.000872758610320878
